task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
113	e3/0213dd	8041507	SCATACPIPE:PREPROCESS_DEFAULT:TAG_BAM (10)	CACHED	0	2022-06-17 16:40:56.270	32m 45s	32m 20s	167.7%	21.6 GB	21.7 GB	186.6 GB	169.1 GB
115	7d/dd560e	8041513	SCATACPIPE:PREPROCESS_DEFAULT:TAG_BAM (1)	CACHED	0	2022-06-17 16:40:58.720	14m 52s	14m 21s	177.8%	12.1 GB	12.1 GB	103.3 GB	94 GB
112	fa/5d81d4	8041516	SCATACPIPE:PREPROCESS_DEFAULT:TAG_BAM (4)	CACHED	0	2022-06-17 16:40:59.147	2m 42s	1m 53s	175.8%	1.9 GB	2 GB	16.1 GB	14.7 GB
116	9b/68be9f	8041514	SCATACPIPE:PREPROCESS_DEFAULT:TAG_BAM (2)	CACHED	0	2022-06-17 16:40:58.854	2m 12s	2m 8s	175.9%	1.9 GB	2 GB	16.1 GB	14.7 GB
117	14/283730	8041509	SCATACPIPE:PREPROCESS_DEFAULT:TAG_BAM (8)	CACHED	0	2022-06-17 16:40:57.878	28m 48s	28m 43s	166.9%	21.6 GB	21.6 GB	186.2 GB	168.8 GB
118	d8/ecece0	8041951	SCATACPIPE:PREPROCESS_DEFAULT:TAG_BAM (12)	CACHED	0	2022-06-17 18:25:21.673	11m 55s	11m 42s	180.5%	12.1 GB	12.1 GB	103 GB	93.8 GB
119	c7/b139dd	8041978	SCATACPIPE:PREPROCESS_DEFAULT:COMBINE_BAM2 (6)	CACHED	0	2022-06-17 18:37:17.932	1h 19m 4s	1h 18m 36s	98.7%	911.3 MB	1 GB	65.9 GB	64.2 GB
120	ae/56061a	8041973	SCATACPIPE:PREPROCESS_DEFAULT:COMBINE_BAM2 (4)	CACHED	0	2022-06-17 18:37:16.694	41m 45s	41m 26s	98.5%	911.6 MB	1 GB	35.9 GB	34.9 GB
123	1f/50fd94	8041977	SCATACPIPE:PREPROCESS_DEFAULT:COMBINE_BAM2 (3)	CACHED	0	2022-06-17 18:37:17.751	43m 4s	42m 58s	98.8%	911.4 MB	1 GB	36.1 GB	35 GB
121	ce/f356bb	8041974	SCATACPIPE:PREPROCESS_DEFAULT:COMBINE_BAM2 (1)	CACHED	0	2022-06-17 18:37:16.836	6m 19s	6m 5s	98.5%	911.3 MB	1 GB	5.1 GB	4.9 GB
